popularity_rank,canonical_key,display_name,source_breadth,in_debian_popcon,in_homebrew,in_vcpkg,in_conan,debian_installed_max,debian_regular_use_max,debian_installed_sum,debian_regular_use_sum,homebrew_installs_365d,homebrew_requested_365d,homebrew_reverse_dependencies,vcpkg_reverse_dependencies,conan_literal_reverse_dependencies,popularity_proxy_raw,popularity_proxy_share_pct,cumulative_popularity_proxy_pct
149,shared-mime-info,shared-mime-info,3,1,1,1,0,264791,135352,264791,135352,349927,28719,1,0,0,0.00131534829,0.16780729,64.341511
150,eigen3,eigen3,2,1,0,1,0,4816,478,4950,478,0,0,0,54,0,0.001311396692,0.16730316,64.508814
151,libavif,libavif,4,1,1,1,1,103972,80617,152336,83906,428121,51203,8,0,4,0.001299643162,0.16580368,64.674617
152,mpfr,mpfr,3,0,1,1,1,0,0,0,0,499117,4123,50,6,6,0.001287048605,0.16419692,64.838814
153,libtirpc,libtirpc,3,1,1,0,1,259014,109202,470855,220010,97620,769,4,0,0,0.001284767907,0.16390595,65.00272
154,onetbb,onetbb,2,1,0,0,1,52945,11007,165316,25376,0,0,0,0,17,0.00128250248,0.16361694,65.166337
155,libbsd,libbsd,3,1,1,0,1,281284,201390,290011,202210,640,190,1,0,0,0.001280536511,0.16336613,65.329703
156,tiff,tiff,2,1,0,1,0,180676,126383,237511,129749,0,0,0,18,0,0.00127756924,0.16298757,65.492691
157,pciutils,pciutils,3,1,1,0,1,280258,123452,566219,196582,121,105,0,0,0,0.001276847994,0.16289556,65.655586
158,flac,flac,3,1,1,0,1,98900,78951,127333,82283,260207,5215,38,0,4,0.00127193213,0.16226841,65.817855
159,tcp-wrappers,tcp-wrappers,2,1,0,0,1,280136,173542,308054,180127,0,0,0,0,1,0.00124868653,0.15930282,65.977158
160,libxkbcommon,libxkbcommon,3,1,1,1,0,168700,115462,430187,275636,57168,2021,6,0,0,0.001245160077,0.15885293,66.136011
161,libxmu,libxmu,3,1,1,1,0,274881,106296,454654,106742,40639,574,16,1,0,0.001226107963,0.15642233,66.292433
162,mpdecimal,mpdecimal,3,1,1,0,1,126,65,230,75,1857284,5750,7,0,1,0.001218204006,0.15541398,66.447847
163,mozjpeg,mozjpeg,2,0,1,0,1,0,0,0,0,17609,1280,2,0,19,0.001202848014,0.15345492,66.601302
164,nspr,nspr,4,1,1,1,1,180978,136024,188433,136517,299263,2897,7,2,1,0.001201064451,0.15322737,66.754529
165,glib-networking,glib-networking,3,1,1,1,0,152523,97641,457448,289446,27646,2189,2,1,0,0.00119516349,0.15247455,66.907004
166,libbpf,libbpf,4,1,1,1,1,228728,201930,229190,201993,440,31,1,0,0,0.001177086093,0.1501683,67.057172
167,libmd,libmd,3,1,1,0,1,254412,183971,262313,184797,3456,130,1,0,0,0.001167391221,0.14893147,67.206104
168,libxfixes,libxfixes,3,1,1,1,0,189526,118800,210636,120182,275262,1007,11,4,0,0.001167352732,0.14892656,67.35503
169,mpg123,mpg123,4,1,1,1,1,99491,78990,118011,81044,538335,13517,15,2,2,0.001166492022,0.14881675,67.503847
170,xorg-macros,xorg-macros,2,0,0,1,1,0,0,0,0,0,0,0,33,6,0.001163892176,0.14848507,67.652332
171,numactl,numactl,3,1,1,1,0,229913,166177,246782,167243,30754,128,1,3,0,0.001150896149,0.14682709,67.799159
172,libxi,libxi,3,1,1,1,0,189527,116767,209435,118156,255126,1001,10,3,0,0.00111400109,0.14212015,67.941279
173,aws-c-common,aws-c-common,3,0,1,1,1,0,0,0,0,66679,346,15,8,12,0.00111160548,0.14181453,68.083094
174,fftw3,fftw3,2,1,0,1,0,161795,113716,338171,144500,0,0,0,9,0,0.001100580675,0.14040803,68.223502
175,grpc,grpc,4,1,1,1,1,5463,356,12915,1128,153930,63044,7,5,9,0.001098464646,0.14013807,68.36364
176,xkeyboard-config,xkeyboard-config,3,1,1,0,1,277674,128683,277674,128683,43198,339,2,0,1,0.001095914349,0.13981271,68.503452
177,mawk,mawk,3,1,1,0,1,281158,136784,281158,136784,5680,688,0,0,1,0.00109315492,0.13946067,68.642913
178,lmdb,lmdb,4,1,1,1,1,256648,103945,258483,104011,12435,1373,9,3,1,0.001091879169,0.13929792,68.782211
179,graphene,graphene,4,1,1,1,1,131106,95008,211164,155722,30581,321,20,1,2,0.001089139122,0.13894835,68.921159
180,nasm,nasm,3,1,1,0,1,5151,493,5151,493,102953,37064,0,0,14,0.001080189405,0.13780658,69.058966
